name,im_set,path,score,split,label
fig|511145.12.peg.3158,ecoli,input_jsons/fig|511145.12.peg.3158.json,0.656,test,0
fig|511145.12.peg.2824,ecoli,input_jsons/fig|511145.12.peg.2824.json,0.413,test,0
fig|511145.12.peg.2574,ecoli,input_jsons/fig|511145.12.peg.2574.json,0.756,test,0
fig|511145.12.peg.375,ecoli,input_jsons/fig|511145.12.peg.375.json,0.1,test,0
fig|511145.12.peg.916,ecoli,input_jsons/fig|511145.12.peg.916.json,0.805,test,0
fig|511145.12.peg.1814,ecoli,input_jsons/fig|511145.12.peg.1814.json,0.692,test,0
fig|511145.12.peg.425,ecoli,input_jsons/fig|511145.12.peg.425.json,0.533,test,0
fig|511145.12.peg.1709,ecoli,input_jsons/fig|511145.12.peg.1709.json,0.678,test,0
fig|511145.12.peg.3669,ecoli,input_jsons/fig|511145.12.peg.3669.json,0.1,test,0
fig|511145.12.peg.1598,ecoli,input_jsons/fig|511145.12.peg.1598.json,0.532,test,0
fig|511145.12.peg.913,ecoli,input_jsons/fig|511145.12.peg.913.json,0.698,test,0
fig|511145.12.peg.173,ecoli,input_jsons/fig|511145.12.peg.173.json,0.789,test,0
fig|511145.12.peg.3597,ecoli,input_jsons/fig|511145.12.peg.3597.json,0.409,test,0
fig|511145.12.peg.2711,ecoli,input_jsons/fig|511145.12.peg.2711.json,0.706,test,0
fig|511145.12.peg.2416,ecoli,input_jsons/fig|511145.12.peg.2416.json,0.651,test,0
fig|511145.12.peg.3215,ecoli,input_jsons/fig|511145.12.peg.3215.json,0.1,test,0
fig|511145.12.peg.4272,ecoli,input_jsons/fig|511145.12.peg.4272.json,0.1,test,0
fig|511145.12.peg.2182,ecoli,input_jsons/fig|511145.12.peg.2182.json,0.989,test,0
fig|511145.12.peg.3668,ecoli,input_jsons/fig|511145.12.peg.3668.json,0.423,test,0
fig|511145.12.peg.1834,ecoli,input_jsons/fig|511145.12.peg.1834.json,0.1,test,0
fig|511145.12.peg.1838,ecoli,input_jsons/fig|511145.12.peg.1838.json,0.91,test,0
fig|511145.12.peg.3062,ecoli,input_jsons/fig|511145.12.peg.3062.json,0.1,test,0
fig|511145.12.peg.3348,ecoli,input_jsons/fig|511145.12.peg.3348.json,0.509,test,0
fig|511145.12.peg.3019,ecoli,input_jsons/fig|511145.12.peg.3019.json,0.426,test,0
fig|511145.12.peg.1835,ecoli,input_jsons/fig|511145.12.peg.1835.json,0.536,test,0
fig|511145.12.peg.2792,ecoli,input_jsons/fig|511145.12.peg.2792.json,0.458,test,0
fig|511145.12.peg.2655,ecoli,input_jsons/fig|511145.12.peg.2655.json,0.849,test,0
fig|511145.12.peg.4048,ecoli,input_jsons/fig|511145.12.peg.4048.json,0.65,test,0
fig|511145.12.peg.2634,ecoli,input_jsons/fig|511145.12.peg.2634.json,0.541,test,0
fig|511145.12.peg.505,ecoli,input_jsons/fig|511145.12.peg.505.json,0.45,test,0
fig|511145.12.peg.1717,ecoli,input_jsons/fig|511145.12.peg.1717.json,0.755,test,0
fig|511145.12.peg.1650,ecoli,input_jsons/fig|511145.12.peg.1650.json,0.1,test,0
fig|511145.12.peg.1352,ecoli,input_jsons/fig|511145.12.peg.1352.json,0.998,test,0
fig|511145.12.peg.28,ecoli,input_jsons/fig|511145.12.peg.28.json,0.733,test,0
fig|511145.12.peg.840,ecoli,input_jsons/fig|511145.12.peg.840.json,0.324,test,0
fig|511145.12.peg.379,ecoli,input_jsons/fig|511145.12.peg.379.json,0.1,test,0
fig|511145.12.peg.1302,ecoli,input_jsons/fig|511145.12.peg.1302.json,0.1,test,0
fig|511145.12.peg.3379,ecoli,input_jsons/fig|511145.12.peg.3379.json,0.704,test,0
fig|511145.12.peg.3617,ecoli,input_jsons/fig|511145.12.peg.3617.json,0.994,test,0
fig|511145.12.peg.625,ecoli,input_jsons/fig|511145.12.peg.625.json,0.482,test,0
fig|511145.12.peg.3462,ecoli,input_jsons/fig|511145.12.peg.3462.json,0.44,test,0
fig|511145.12.peg.2914,ecoli,input_jsons/fig|511145.12.peg.2914.json,0.1,test,0
fig|511145.12.peg.2030,ecoli,input_jsons/fig|511145.12.peg.2030.json,0.1,test,0
fig|511145.12.peg.2799,ecoli,input_jsons/fig|511145.12.peg.2799.json,0.1,test,0
fig|511145.12.peg.2776,ecoli,input_jsons/fig|511145.12.peg.2776.json,0.87,test,0
fig|511145.12.peg.2785,ecoli,input_jsons/fig|511145.12.peg.2785.json,0.61,test,0
fig|511145.12.peg.841,ecoli,input_jsons/fig|511145.12.peg.841.json,0.1,test,0
fig|511145.12.peg.4189,ecoli,input_jsons/fig|511145.12.peg.4189.json,0.486,test,0
fig|511145.12.peg.2800,ecoli,input_jsons/fig|511145.12.peg.2800.json,0.94,test,0
fig|511145.12.peg.1704,ecoli,input_jsons/fig|511145.12.peg.1704.json,0.1,test,0
fig|511145.12.peg.2055,ecoli,input_jsons/fig|511145.12.peg.2055.json,0.1,test,0
fig|511145.12.peg.2300,ecoli,input_jsons/fig|511145.12.peg.2300.json,0.873,test,0
fig|511145.12.peg.1257,ecoli,input_jsons/fig|511145.12.peg.1257.json,0.706,test,0
fig|511145.12.peg.2332,ecoli,input_jsons/fig|511145.12.peg.2332.json,0.473,test,0
fig|511145.12.peg.31,ecoli,input_jsons/fig|511145.12.peg.31.json,0.432,test,0
fig|511145.12.peg.749,ecoli,input_jsons/fig|511145.12.peg.749.json,0.547,test,0
fig|511145.12.peg.3355,ecoli,input_jsons/fig|511145.12.peg.3355.json,0.626,test,0
fig|511145.12.peg.3761,ecoli,input_jsons/fig|511145.12.peg.3761.json,0.1,test,0
fig|511145.12.peg.981,ecoli,input_jsons/fig|511145.12.peg.981.json,0.647,test,0
fig|511145.12.peg.1096,ecoli,input_jsons/fig|511145.12.peg.1096.json,0.1,test,0
fig|511145.12.peg.3268,ecoli,input_jsons/fig|511145.12.peg.3268.json,0.619,test,0
fig|511145.12.peg.1580,ecoli,input_jsons/fig|511145.12.peg.1580.json,0.976,test,0
fig|511145.12.peg.2497,ecoli,input_jsons/fig|511145.12.peg.2497.json,0.545,test,0
fig|511145.12.peg.939,ecoli,input_jsons/fig|511145.12.peg.939.json,0.492,test,0
fig|511145.12.peg.606,ecoli,input_jsons/fig|511145.12.peg.606.json,0.614,test,0
fig|511145.12.peg.1249,ecoli,input_jsons/fig|511145.12.peg.1249.json,0.1,test,0
fig|511145.12.peg.3022,ecoli,input_jsons/fig|511145.12.peg.3022.json,0.423,test,0
fig|511145.12.peg.990,ecoli,input_jsons/fig|511145.12.peg.990.json,0.172,test,0
fig|511145.12.peg.1546,ecoli,input_jsons/fig|511145.12.peg.1546.json,0.505,test,0
fig|511145.12.peg.1050,ecoli,input_jsons/fig|511145.12.peg.1050.json,0.914,test,0
fig|511145.12.peg.3134,ecoli,input_jsons/fig|511145.12.peg.3134.json,0.34,test,0
fig|511145.12.peg.4394,ecoli,input_jsons/fig|511145.12.peg.4394.json,0.616,test,0
fig|511145.12.peg.1991,ecoli,input_jsons/fig|511145.12.peg.1991.json,0.1,test,0
fig|511145.12.peg.2768,ecoli,input_jsons/fig|511145.12.peg.2768.json,0.415,test,0
fig|511145.12.peg.1597,ecoli,input_jsons/fig|511145.12.peg.1597.json,0.1,test,0
fig|511145.12.peg.3651,ecoli,input_jsons/fig|511145.12.peg.3651.json,0.754,test,0
fig|511145.12.peg.4101,ecoli,input_jsons/fig|511145.12.peg.4101.json,0.459,test,0
fig|511145.12.peg.771,ecoli,input_jsons/fig|511145.12.peg.771.json,0.994,test,0
fig|511145.12.peg.1327,ecoli,input_jsons/fig|511145.12.peg.1327.json,0.1,test,0
fig|511145.12.peg.4451,ecoli,input_jsons/fig|511145.12.peg.4451.json,0.847,test,0
fig|511145.12.peg.937,ecoli,input_jsons/fig|511145.12.peg.937.json,0.497,test,0
fig|511145.12.peg.4058,ecoli,input_jsons/fig|511145.12.peg.4058.json,0.977,test,0
fig|511145.12.peg.457,ecoli,input_jsons/fig|511145.12.peg.457.json,0.737,test,0
fig|511145.12.peg.4454,ecoli,input_jsons/fig|511145.12.peg.4454.json,0.838,test,0
fig|511145.12.peg.1693,ecoli,input_jsons/fig|511145.12.peg.1693.json,0.802,test,0
fig|511145.12.peg.4270,ecoli,input_jsons/fig|511145.12.peg.4270.json,0.641,test,0
fig|511145.12.peg.3330,ecoli,input_jsons/fig|511145.12.peg.3330.json,0.53,test,0
fig|511145.12.peg.904,ecoli,input_jsons/fig|511145.12.peg.904.json,0.1,test,0
fig|511145.12.peg.1789,ecoli,input_jsons/fig|511145.12.peg.1789.json,0.1,test,0
fig|511145.12.peg.393,ecoli,input_jsons/fig|511145.12.peg.393.json,0.306,test,0
fig|511145.12.peg.3458,ecoli,input_jsons/fig|511145.12.peg.3458.json,0.432,test,0
fig|511145.12.peg.3863,ecoli,input_jsons/fig|511145.12.peg.3863.json,0.613,test,0
fig|511145.12.peg.2389,ecoli,input_jsons/fig|511145.12.peg.2389.json,0.382,test,0
fig|511145.12.peg.2613,ecoli,input_jsons/fig|511145.12.peg.2613.json,0.957,test,0
fig|511145.12.peg.2697,ecoli,input_jsons/fig|511145.12.peg.2697.json,0.999,test,0
fig|511145.12.peg.4350,ecoli,input_jsons/fig|511145.12.peg.4350.json,0.853,test,0
fig|511145.12.peg.1815,ecoli,input_jsons/fig|511145.12.peg.1815.json,0.406,test,0
fig|511145.12.peg.1733,ecoli,input_jsons/fig|511145.12.peg.1733.json,0.677,test,0
fig|511145.12.peg.349,ecoli,input_jsons/fig|511145.12.peg.349.json,0.809,test,0
fig|511145.12.peg.4124,ecoli,input_jsons/fig|511145.12.peg.4124.json,0.564,test,0
fig|511145.12.peg.3758,ecoli,input_jsons/fig|511145.12.peg.3758.json,0.698,test,0
fig|511145.12.peg.4527,ecoli,input_jsons/fig|511145.12.peg.4527.json,0.483,test,0
fig|511145.12.peg.1338,ecoli,input_jsons/fig|511145.12.peg.1338.json,0.408,test,0
fig|511145.12.peg.4159,ecoli,input_jsons/fig|511145.12.peg.4159.json,0.587,test,0
fig|511145.12.peg.1095,ecoli,input_jsons/fig|511145.12.peg.1095.json,0.499,test,0
fig|511145.12.peg.1227,ecoli,input_jsons/fig|511145.12.peg.1227.json,0.581,test,0
fig|511145.12.peg.2229,ecoli,input_jsons/fig|511145.12.peg.2229.json,0.1,test,0
fig|511145.12.peg.2606,ecoli,input_jsons/fig|511145.12.peg.2606.json,0.775,test,0
fig|511145.12.peg.1985,ecoli,input_jsons/fig|511145.12.peg.1985.json,0.49,test,0
fig|511145.12.peg.4308,ecoli,input_jsons/fig|511145.12.peg.4308.json,0.483,test,0
fig|511145.12.peg.1910,ecoli,input_jsons/fig|511145.12.peg.1910.json,0.585,test,0
